YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
1998-1999   ,ID,Idaho,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1686,Male,All Ages,All Grades
1995-1996   ,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
1992-1993,FL,Florida,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,1504,Male,All Ages,All Grades
2014-2015,WY,Wyoming,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1569,Male,All Ages,All Grades
2001-2002   ,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1586,Female,All Ages,All Grades
2001-2002,PA,Pennsylvania,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1562,Female,All Ages,All Grades
1998-1999   ,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,334,Female,All Ages,All Grades
1998-1999   ,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,3105,Overall,All Ages,All Grades
2003,DC,District of Columbia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1045,Male,All Ages,All Grades
1995-1996   ,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
2014-2015,IA,Iowa,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1480,Male,All Ages,All Grades
1998-1999   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,264,Overall,All Ages,All Grades
1995-1996   ,TX,Texas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,4903,Male,All Ages,All Grades
1992-1993   ,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,155,Male,All Ages,All Grades
1998-1999   ,AK,Alaska,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1170,Male,All Ages,All Grades
2003,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1527,Overall,Age 20 and Older,>12th Grade
1998-1999   ,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,625,Overall,Age 20 and Older,<12th Grade
2010-2011,DC,District of Columbia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1371,Male,All Ages,All Grades
2001-2002   ,IA,Iowa,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,4105,Overall,All Ages,All Grades
2001-2002,AR,Arkansas,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,519,Female,All Ages,All Grades
2010-2011,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,2530,Female,All Ages,All Grades
2010-2011,MT,Montana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,2241,Overall,All Ages,All Grades
2014-2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,308,Female,All Ages,All Grades
2014-2015,WI,Wisconsin,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1849,Male,All Ages,All Grades
2003,WA,Washington,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,340,Overall,Age 25 and Older,<12th Grade
2006-2007   ,MI,Michigan,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,278,Male,All Ages,All Grades
1998-1999   ,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,346,Overall,All Ages,All Grades
1995-1996   ,OK,Oklahoma,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3586,Overall,All Ages,All Grades
2006-2007,AR,Arkansas,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,219,Female,All Ages,All Grades
2010-2011,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,234,Female,All Ages,All Grades
2001-2002   ,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,560,Overall,All Ages,All Grades
2014-2015,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1049,Overall,25 to 44 Years,All Grades
2003,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,237,Male,All Ages,All Grades
2006-2007   ,NM,New Mexico,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,1197,Female,All Ages,All Grades
2006-2007   ,GA,Georgia,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,2492,Female,All Ages,All Grades
1995-1996   ,SD,South Dakota,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3376,Overall,All Ages,All Grades
1995-1996   ,NE,Nebraska,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1737,Female,All Ages,All Grades
2006-2007   ,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,339,Overall,Age 25 and Older,<12th Grade
1992-1993   ,MD,Maryland,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2610,Overall,All Ages,All Grades
