YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
2003,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,2182,Male,All Ages,All Grades
1992-1993   ,GA,Georgia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,247,Male,All Ages,All Grades
1998-1999   ,OR,Oregon,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1488,Female,All Ages,All Grades
2006-2007,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,4645,Overall,All Ages,All Grades
1998-1999   ,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,636,Overall,All Ages,All Grades
2014-2015,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1010,Overall,45 to 64 Years,All Grades
1998-1999   ,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,334,Overall,Age 20 and Older,<12th Grade
2003,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,458,Overall,Age 20 and Older,<12th Grade
1992-1993   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,112,Overall,All Ages,All Grades
1992-1993   ,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,561,Overall,All Ages,All Grades
2003,IN,Indiana,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,4602,Overall,All Ages,All Grades
1992-1993   ,OK,Oklahoma,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,3512,Overall,All Ages,All Grades
1998-1999   ,WV,West Virginia,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3332,Overall,All Ages,All Grades
2006-2007   ,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1164,Overall,25 to 44 Years,All Grades
2010-2011,SC,South Carolina,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,334,Overall,All Ages,All Grades
1995-1996   ,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,782,Overall,All Ages,All Grades
2006-2007   ,MT,Montana,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,296,Overall,All Ages,All Grades
2010-2011,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,675,Overall,All Ages,All Grades
2006-2007,OK,Oklahoma,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,626,Female,All Ages,All Grades
1992-1993   ,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,439,Overall,All Ages,All Grades
2006-2007   ,WY,Wyoming,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,2913,Overall,All Ages,All Grades
